"Date","Start Time","Division","Home Team","Away Team","Location"
"09/09/2023","08:00 AM","East Bay Over 30 Soccer","Green","Blue","Estuary Park (Alameda)"
"09/09/2023","09:30 AM","East Bay Over 30 Soccer","Red","Yellow","Estuary Park (Alameda)"
"09/09/2023","11:00 AM","East Bay Over 30 Soccer","Black","Orange","Estuary Park (Alameda)"
"09/16/2023","08:00 AM","East Bay Over 30 Soccer","Black","White","Estuary Park (Alameda)"
"09/16/2023","09:30 AM","East Bay Over 30 Soccer","Yellow","Orange","Estuary Park (Alameda)"
"09/16/2023","11:00 AM","East Bay Over 30 Soccer","Blue","Red","Estuary Park (Alameda)"
"09/23/2023","08:00 AM","East Bay Over 30 Soccer","Green","Yellow","Estuary Park (Alameda)"
"09/23/2023","09:30 AM","East Bay Over 30 Soccer","Red","Black","Estuary Park (Alameda)"
"09/23/2023","11:00 AM","East Bay Over 30 Soccer","Orange","White","Estuary Park (Alameda)"
"09/30/2023","08:00 AM","East Bay Over 30 Soccer","Green","White","Estuary Park (Alameda)"
"09/30/2023","09:30 AM","East Bay Over 30 Soccer","Yellow","Blue","Estuary Park (Alameda)"
"09/30/2023","11:00 AM","East Bay Over 30 Soccer","Red","Orange","Estuary Park (Alameda)"
"10/07/2023","08:00 AM","East Bay Over 30 Soccer","Black","Yellow","Estuary Park (Alameda)"
"10/07/2023","09:30 AM","East Bay Over 30 Soccer","Orange","Green","Estuary Park (Alameda)"
"10/07/2023","11:00 AM","East Bay Over 30 Soccer","Blue","White","Estuary Park (Alameda)"
"10/14/2023","08:00 AM","East Bay Over 30 Soccer","Black","Blue","Estuary Park (Alameda)"
"10/14/2023","09:30 AM","East Bay Over 30 Soccer","Yellow","White","Estuary Park (Alameda)"
"10/14/2023","11:00 AM","East Bay Over 30 Soccer","Red","Green","Estuary Park (Alameda)"
"10/21/2023","08:00 AM","East Bay Over 30 Soccer","White","Red","Estuary Park (Alameda)"
"10/21/2023","09:30 AM","East Bay Over 30 Soccer","Orange","Blue","Estuary Park (Alameda)"
"10/21/2023","11:00 AM","East Bay Over 30 Soccer","Black","Green","Estuary Park (Alameda)"
"10/28/2023","08:00 AM","East Bay Over 30 Soccer","Orange","Black","Estuary Park (Alameda)"
"10/28/2023","09:30 AM","East Bay Over 30 Soccer","Blue","Green","Estuary Park (Alameda)"
"10/28/2023","11:00 AM","East Bay Over 30 Soccer","Yellow","Red","Estuary Park (Alameda)"
"11/04/2023","08:00 AM","East Bay Over 30 Soccer","Red","Blue","Estuary Park (Alameda)"
"11/04/2023","09:30 AM","East Bay Over 30 Soccer","White","Black","Estuary Park (Alameda)"
"11/04/2023","11:00 AM","East Bay Over 30 Soccer","Orange","Yellow","Estuary Park (Alameda)"
"11/11/2023","08:00 AM","East Bay Over 30 Soccer","White","Orange","Estuary Park (Alameda)"
"11/11/2023","09:30 AM","East Bay Over 30 Soccer","Yellow","Green","Estuary Park (Alameda)"
"11/11/2023","11:00 AM","East Bay Over 30 Soccer","Black","Red","Estuary Park (Alameda)"
"11/18/2023","08:00 AM","East Bay Over 30 Soccer","Orange","Red","Estuary Park (Alameda)"
"11/18/2023","09:30 AM","East Bay Over 30 Soccer","White","Green","Estuary Park (Alameda)"
"11/18/2023","11:00 AM","East Bay Over 30 Soccer","Blue","Yellow","Estuary Park (Alameda)"
"12/02/2023","08:00 AM","East Bay Over 30 Soccer","White","Blue","Estuary Park (Alameda)"
"12/02/2023","09:30 AM","East Bay Over 30 Soccer","Yellow","Black","Estuary Park (Alameda)"
"12/02/2023","11:00 AM","East Bay Over 30 Soccer","Green","Orange","Estuary Park (Alameda)"
"12/09/2023","08:00 AM","East Bay Over 30 Soccer","Green","Red","Estuary Park (Alameda)"
"12/09/2023","09:30 AM","East Bay Over 30 Soccer","Blue","Black","Estuary Park (Alameda)"
"12/09/2023","11:00 AM","East Bay Over 30 Soccer","White","Yellow","Estuary Park (Alameda)"
"12/16/2023","08:00 AM","East Bay Over 30 Soccer","Green","Black","Estuary Park (Alameda)"
"12/16/2023","09:30 AM","East Bay Over 30 Soccer","Red","White","Estuary Park (Alameda)"
"12/16/2023","11:00 AM","East Bay Over 30 Soccer","Blue","Orange","Estuary Park (Alameda)"
